,comment_text,comment_date,comment_time
0,别人云亦云了，怪量化交易了A股这么多年的走势，大家还没看透嘛？现在又扯上量化了。我们假设一下，如果所有股民都可以双向交易，你亏钱了，会觉得市场的不公吗？那样亏钱，只能说明技术不行。如果放开融券业务，所有股民，无门槛可以融券，券源无时间限制，而且是所有股票，并且是等额流通盘，那么结果是什么？先不说赚或亏，那个时候，你做庄试试，只要头铁，你拉高了，我就做空，这个时候就看你泡沫会不会破。同理，你使劲打...,09-03 22:54,09-03
0,为啥要10.9号实行，给量化跑路的时间吗？内外勾结，一个月时间，足够量化跑路了,09-03 23:12,09-03
0,涨两个点就被量化蛆砸盘，量化蛆不剜除，股市难有应有的高度。,09-03 23:15,09-03
0,除了中金，华泰，国泰君安三个量化大本营，其他券商全部涨停,09-04 00:00,09-04
0,转发,09-04 00:09,09-04
0,明天为什么涨，限制量化是利好？,09-04 00:23,09-04
0,别人云亦云了，怪量化交易了A股这么多年的走势，大家还没看透嘛？现在又扯上量化了。我们假设一下，如果所有股民都可以双向交易，你亏钱了，会觉得市场的不公吗？那样亏钱，只能说明技术不行。如果放开融券业务，所有股民，无门槛可以融券，券源无时间限制，而且是所有股票，并且是等额流通盘，那么结果是什么？先不说赚或亏，那个时候，你做庄试试，只要头铁，你拉高了，我就做空，这个时...,09-04 00:37,09-04
0,都是8月28日增加4亿多融券,09-04 00:46,09-04
0,量化交易，是不是在交易上就开始大量高频了，而我们完全可以选择持股不动我们散户最不缺少的是时间，当你将钱存到银行，你可以忍受5年不动，为什么在低位持股就不能忍受5年不动呢？在这5年之中，任何极速上涨你盈利之后都可以卖出啊！时间，是我们在市场中盈利的支撑点。时间，让我们不被量化收割。,09-04 01:21,09-04
0,周一平开,09-04 02:09,09-04
0,都该感谢北向资金，,09-04 02:57,09-04
0,真理掌握在少数人手中，这次声讨量化，一定有高人指点，这个高人必是受益者,09-04 06:16,09-04
0,突然机构雇了许多人讨论美化量化和融券，确实急了！哈哈哈哈！,09-04 06:18,09-04
0,股票可以致富，鼓励大家,09-04 06:21,09-04
0,量化就是玩游戏开挂，你愿意和开挂的一起玩？,09-04 06:41,09-04
0,8月28这天突然多了这么多融券，量化砸盘无疑了,09-04 06:54,09-04
0,半仓东财仓东兴，坐等券商爆发,09-04 07:06,09-04
0,巴菲特都说了不要做空，在这个关键时刻，融券做空的人，也不知道是怎么想的，8/28涨停板集体砸盘券商做空，后面会全部还回去,09-04 07:10,09-04
0,转发,09-04 07:13,09-04
0,20230904,09-04 07:13,09-04
0,我上星期一17点3元高位追进一万二千股，星期五受不了下跌的压力，15点95元割肉抛了，亏了一万多，明天如果再高开，我是不是再高位买进，然后等下跌时再割肉养庄家。,09-04 07:18,09-04
0,原始股东，只能分红，不准减持！,09-04 07:19,09-04
0,老师人工智能的支撑指数在什么位，这样我可以更好的做好进出点,09-04 07:25,09-04
0,老师人工智能的支撑指数在什么位，这样我可以更好的做好进出点,09-04 07:31,09-04
0,九月份东方财富最高点会拉到22元，大家拿好筹码,09-04 07:39,09-04
0,下来把存款利率给降低一点，银行利润不受影响。,09-04 07:48,09-04
0,9月4号开盘应该是涨，可在开盘买入,09-04 07:51,09-04
0,关注石油板块,09-04 07:57,09-04
0,明天板上钉钉跳空高开15～18cm,09-04 08:05,09-04
0,格林美可以入吗,09-04 08:05,09-04
0,人气下来了,09-04 08:12,09-04
0,上周五收这么一个十字星，看来是要选择方向，到底是向上还是向下走呢？我觉得大概率是向上见底的感觉，在调整了这么多天也该结束了，拭目以待吧,09-04 08:24,09-04
0,此前,09-04 08:25,09-04
0,最近缩量了，很显然上周一动到大资金的利益了，所以开始搞量化了，所以周一看涨周二看涨周三有个回调可以上车，周五看涨,09-04 08:37,09-04
0,15年长了400倍,09-04 08:40,09-04
0,如果没有更大的资金，估计半年都过不去,09-04 08:42,09-04
0,涨？,09-04 08:45,09-04
0,我还有一万，明天满仓干,09-04 08:52,09-04
0,跌多会反弹，加仓良机。,09-04 08:55,09-04
0,谢谢，收到,09-04 08:58,09-04
0,回头看，东财感觉又要回来了，怎么个回法，就是带着创业板创新高的回法，有些人说东财值32元，个人以为这不一定是梦,09-04 09:04,09-04
0,转发,09-04 09:12,09-04
0,老哥，像永辉超市这样的没动过，还有中报，还能持有吗？,09-04 09:13,09-04
0,学会空仓等待，不到卖点不卖，不到买点不买，始终管住自己，宁可操作失败，绝对不能冲动。,09-04 09:16,09-04
0,国家队呢？,09-04 09:16,09-04
0,华西股份怎么说,09-04 09:17,09-04
0,券商佣金两融费率下调比例大，再限制量化交易，估计券商业绩会大幅度下降，看空券商。,09-04 09:27,09-04
0,$恒生指数期货主力(HKINDEXF|HSI_M)$,09-04 09:28,09-04
0,冲吧,09-04 09:28,09-04
0,还不回购？？？？,09-04 09:30,09-04
0,只有机构融券，散户无法做空，散户玩不起,09-04 09:30,09-04
0,融券爆仓,09-04 09:30,09-04
0,能跑就跑吧,09-04 09:33,09-04
0,转发,09-04 09:41,09-04
0,人多的地方死的快,09-04 09:35,09-04
0,涨停涨停涨停,09-04 09:37,09-04
0,券商就是套人。回不来了,09-04 09:37,09-04
0,一定要信啦,09-04 09:37,09-04
0,"券商板块大跌，龙头券商也要砸盘，跌破压力位15.30,会破10日均线",09-04 09:39,09-04
0,信永丰得永生，又是叫追进去的，两次就不见40个点了,09-04 09:39,09-04
0,18.4的本。16以上卖出。到14又买，卖,09-04 09:40,09-04
0,量化股，快跑吧,09-04 09:40,09-04
0,已经不是当年的东财啦,09-04 09:42,09-04
0,量化龙头不跌才怪吧,09-04 09:42,09-04
0,天天有那么多资金出逃，是谁在在手笔减持,09-04 09:42,09-04
0,今天小幅拉升回调然后震荡缓慢下铁,09-04 09:43,09-04
0,转发,09-04 09:43,09-04
0,好像把量化噶了就能挣钱似的,09-04 09:44,09-04
0,远离A股市场，才是明智选择,09-04 09:45,09-04
0,痛打落水狗,09-04 09:45,09-04
0,估计主力也没钱。只能拉券商。从券商憋出来钱才能拉别的。反正就一点钱,09-04 09:48,09-04
0,准备加仓，手快有，手慢无，,09-04 09:49,09-04
0,举报量化交易。,09-04 09:49,09-04
0,还卖了，都涨过的东西,09-04 09:49,09-04
0,买了这个垃圾就开始烦，垃圾，天天要死不活！,09-04 09:50,09-04
0,又熄火了,09-04 09:50,09-04
0,出货太严重，做空者太多,09-04 09:51,09-04
0,垃圾破位杀跌了还好上周止损了,09-04 09:51,09-04
0,15.2去买，均价为15.0追下坐等16.5,09-04 09:52,09-04
0,又一次朝缺口方向进发！,09-04 09:52,09-04
0,举报证监会看看28号谁在融券做空,09-04 09:52,09-04
0,券商从上星期热点到冰点真是快,09-04 09:53,09-04
0,习惯性尾盘跳水了,09-04 09:54,09-04
0,大暴跌开始,09-04 09:55,09-04
0,半年来资金天天流出，,09-04 09:55,09-04
0,北上来就是砸,09-04 09:55,09-04
0,限制量化，利空券商。短期，东财还要下行筑底。,09-04 09:56,09-04
0,还得靠房地产拉动经济,09-04 09:56,09-04
0,双刃剑,09-04 09:56,09-04
0,东方财富，你要起一个好的带头作用。,09-04 09:57,09-04
0,监管量化交易是不是券商收入减少，对券商是利空吗？为什么东方财富今天跌了？,09-04 09:57,09-04
0,又是量化交易在作怪！,09-04 09:57,09-04
0,规范量化利空券商吗？,09-04 09:59,09-04
0,下周继续融券往下？哈哈，期待好戏,09-04 10:00,09-04
0,全是个位数的小单,09-04 10:00,09-04
0,看样子今日券商又要砸,09-04 10:01,09-04
0,今天收盘17.95,09-04 10:01,09-04
0,打卡,09-04 10:02,09-04
0,坚决看多！不要与政策作对！买！,09-04 10:02,09-04
0,融券空狗,09-04 10:02,09-04
0,大盘开涨，就看你给不给力了？,09-04 10:02,09-04
0,上！,09-04 10:03,09-04
0,一起继续加油！,09-04 10:03,09-04
0,转发,09-04 10:03,09-04
0,草，大盘都起飞了，你还在这墨迹。你是龙头吗？狗头吧,09-04 10:04,09-04
0,限制量化交易后将来大盘很有可能有机会重现3％以上的大阳线涨幅。不知大家发现没有，自从有了量化交易后，这几年沪指3％或3％以上的涨幅就再也没出现过。大胆猜测，机构的量化交易就是以沪指3％作为设置最大抛售的标准线。有人说它是镰刀，我看它是手术刀。有人说外面也有量化，照样疯狂。不错，港指前期也有大涨5％甚至7％以上的，但它是T＋0，大A是T＋0，制度和规则不同，结果就有可能恰好相反。这样看来，东方财富（...,09-04 10:05,09-04
0,同志们冲鸭买买买,09-04 10:05,09-04
0,涨不过大盘,09-04 10:05,09-04
0,东方财富,09-04 10:07,09-04
0,可以收弟子吗，哈哈,09-04 10:11,09-04
0,只需一个涨停好吧,09-04 10:13,09-04
0,走了几天了都不动下,09-04 10:14,09-04
0,刚刚肯定洗出去一波,09-04 10:14,09-04
0,做空第一，怎么上来点,09-04 10:14,09-04
0,垃圾股要回补缺口,09-04 10:15,09-04
0,东方财富你今日涨价是不是给前几日进来的韭菜,09-04 10:16,09-04
0,你们太天真了。现在刚刚上市后锁定的战略投资者的股票都可以融券卖出！自己去看深圳证券交易所icon转融通证券出借交易实施办法（试行）（2023年修订）18条上海证券交易所icon转融通证券出借交易实施办法（试行）（2023年修订）21条的规定！,09-04 10:16,09-04
0,跌10多个点，涨涨1个点不到,09-04 10:16,09-04
0,感觉盘面量货玩得更凶了,09-04 10:17,09-04
0,看这架势今天空头要倒霉。不信走着瞧,09-04 10:19,09-04
0,所有的霉运都是从买了东方财富开始。。。,09-04 10:20,09-04
0,感觉证券还有第三波,09-04 10:23,09-04
0,18.40元的成本。高水平买股。两市没有这高的水平？？,09-04 10:23,09-04
0,估计我这点资金被庄家看上了，不要紧，这次我跟你抗一抗。先拿个半年吧，看谁捉急！,09-04 10:24,09-04
0,最近融券风口浪尖，等跌吧。,09-04 10:28,09-04
0,国家队出手了，400亿外资空单基本体无完肤，跟中国对抗只有一个下场！！,09-04 10:32,09-04
0,8月28日的放量诱多，难突破，高位不接盘。先补下方缺口。14元再建仓。,09-04 10:32,09-04
0,我又来了,09-04 10:33,09-04
0,连大盘都涨不过,09-04 10:33,09-04
0,周末再迎利好消息，量化迎来相关监管措施，股民关心什么，领导就给解决什么。A股有今年可以享受如此高的政策高度，所以要放弃熊市思维，积极用好未来市场。当下重点在于资金的释放，也就是北向资金和量能的表态，短期关注这一指标即可。方向以轮动为主，，暂时关注科技、环保，为轮到的方向，,09-04 10:35,09-04
0,反弹总舵主决定市场方向阿恽00108-3120:01上升趋势里，减少操作是获取大胜的法宝；下跌市道中，控制仓位是求得生存的途径。____阿恽来自：安徽,09-04 10:35,09-04
0,转发,09-04 10:36,09-04
0,能不能硬气一回,09-04 10:41,09-04
0,不可能涨，上周一追进去那么多散户，谁能帮抬轿，动动脑,09-04 10:43,09-04
0,祝大家越来越好,09-04 10:46,09-04
0,下周务必抓紧时间进场布局，以乐观心态迎接九月行情到来。现在大盘的位置区域就是市场底，这一点已经不须怀疑，天时地利人和，就欠东风了，这个东风就是增量资金。一，本周，大盘在空前一揽子利好消息影响下收涨2.26％，远不及预期；证券公司指数（399975）逆势收跌2.88％，料券商补跌完毕企稳之日就是大盘行情正式爆发之时。二，本周五大盘缩量明显盘面不够活跃，由煤炭等传统板块领涨不具备号召引领作用，下周初在...,09-04 10:46,09-04
0,清仓，估计这是本月指数最高点，拉白酒、有色、诱多，出局。待中、下旬观察。,09-04 10:48,09-04
0,聪明的都开始跑了，过两天就跌停,09-04 10:50,09-04
0,融券就是为机构量身打造的。,09-04 10:54,09-04
0,东方财富有天天基金网。所以我今早买2万股，越跌越买,09-04 10:54,09-04
0,求求你了大哥，上18让我解套吧，解完套保证再买一万股，绝对不跑。,09-04 10:57,09-04
0,000600怎么看老师,09-04 10:57,09-04
0,垃圾垃圾垃圾垃圾垃圾,09-04 11:01,09-04
0,爆涨过的票，3年内别玩,09-04 11:01,09-04
0,都散了吧,09-04 11:01,09-04
0,也该来一波大行情了吧,09-04 11:02,09-04
0,助涨助跌？还是见高就空单融券卖空的大户主力！活该股价下跌！,09-04 11:03,09-04
0,爆涨过的票，3年内别玩,09-04 11:05,09-04
0,今天大概率16都站不住,09-04 11:06,09-04
0,九月开门红。八月收官之时没写贴总结，老米八月份的账户是亏损的，而且还亏得不少。好在从本周一（8.28）以来，账户连续五天飘红，给了老米稍许安慰。近一段时间，老米有仓位的就两个票：东方财富和浙数文化。原来持有的AI票，科大讯飞及浪潮信息已经在上月先后清仓。今年以来老米始终是人工智能板块的吹鼓手，春节过后就曾发文说：以人工智能为代表的“先进科技”是贯穿今年A股的投资主线。老米自己也是身体力行，长时间持...,09-04 11:06,09-04
0,动起来！,09-04 11:07,09-04
0,没有量化真不行！,09-04 11:13,09-04
0,16.9-18.4那百亿接盘资金变成了一块大肥肉，每天割一点，高点越来越低，从17.316.816.616.316.2，接下来高点应该只有1615.8了,09-04 11:13,09-04
0,等到散户都绝望的时候才有行情，现在还不是底,09-04 11:13,09-04
0,还有6亿，融券，人心不足，他们想更加便宜买回，割肉的朋友你可想好了。,09-04 11:24,09-04
0,拿好筹码40不是梦,09-04 11:24,09-04
0,没人气了，天天缝针吧！,09-04 11:25,09-04
0,。,09-04 11:28,09-04
0,截至目前，沪深两市成交额突破5000亿元，其中沪市成交额2332亿元，深市成交额2668亿元。,09-04 11:28,09-04
0,还在下运行，弱,09-04 11:29,09-04
0,工业和信息化部副部长徐晓兰表示，为进一步加大政策的保障和落地落实力度，我们正在研究制定《关于促进专精特新中小企业高质量发展的若干措施》，从科技创新、产业链配套、引才育才等方面，再推出一批政策举措，目前已形成征求意见稿，将在吸纳相关部门的意见后，加快推动出台。,09-04 11:29,09-04
0,出货没商量,09-04 11:29,09-04
0,都盼着上涨大赚或者上涨解套,09-04 11:32,09-04
0,弱爆了，,09-04 11:33,09-04
0,今日，瑞幸咖啡与贵州茅台推出的联名咖啡“酱香拿铁”正式上市，零售价38元/杯，使用相关优惠券后到手价约19元/杯。大家有抢到的吗？,09-04 11:34,09-04
0,量化不死散户难活,09-04 11:34,09-04
0,没有之一，最唯一。,09-04 11:35,09-04
0,老师好：发现北向流进要追吧！,09-04 11:38,09-04
0,2-3天小目标17.00不高吧！,09-04 11:41,09-04
0,没了量化券商利润至少减少一半,09-04 11:41,09-04
0,垃圾，都涨不过大盘,09-04 12:43,09-04
0,还是老规矩，我先撤了，预祝留下的小伙伴们发财，减速器今天已经排在前三了,09-04 11:51,09-04
0,周一普涨了，不能没有你……能不能来个20cm,09-04 12:00,09-04
0,关于东财我说两句，虽然佣金降了万0.15，禁止量化，对券商短期利空，但不影响我买入，因为东财是好股票。,09-04 12:00,09-04
0,上车上车,09-04 12:12,09-04
0,券商，保险，银行一个都不会缺席的。卷商目前弱，保险银行强。那是卷商前面强势。调整到位！一样大涨！到时候又会说没有买！,09-04 12:13,09-04
0,没量化主力不会做T了？,09-04 12:13,09-04
0,这是神奇的一周，多少人站在了山顶上。,09-04 12:13,09-04
0,今天没量化参与吗缩量这么多,09-04 12:20,09-04
0,对卖平安，买东财。,09-04 12:24,09-04
0,18.4入场的还有吗，山顶凉飕飕,09-04 12:26,09-04
0,中信证券给出东方财富买入评级，目标价21元，今天可以加仓,09-04 12:27,09-04
0,买入512070证券保险ETF，关注了东方财富。东方财富持续构建和完善以“东方财富网”为核心的互联网财富管理生态圈,09-04 12:32,09-04
0,转发,09-04 12:37,09-04
0,芯片半导体有推荐的吗？,09-04 12:50,09-04
0,一年内东财保守估计会到30。,09-04 12:50,09-04
0,要是禁止量化你试试？！一些人糊逼咧咧，禁止量化大盘得两个跌停；成交量会腰斩，一天能有4000亿啊？两市。跟着一些人胡说八道那。,09-04 12:53,09-04
0,卖平安，买东财，大家说我做的对吗？,09-04 12:55,09-04
0,1、股民普遍认为是利好，然后量化操作者会借此利好疯狂出逃！又会出现一个高开低走的假阴线！2、接下来的一段时间，因量化交易锐减，两市总的成交量会锐减！3、券商的业绩会下降，利空券商，除非大牛市到来！4、市值小的、股价小的股票成交量会锐减。5、大市值、高股价的股票会重新遭到抱团！6、量化团队会增加更多的账户以规避监管！马后炮：原来之前动不动就上万亿的成交量是量化交易的结果！每一次的上万亿成交都会鼓舞人...,09-04 12:58,09-04
0,东财兄弟，今天你又拖后腿了。啥时候硬起来啊？,09-04 13:03,09-04
0,争点气,09-04 13:03,09-04
0,垃圾，涨的时候垃圾，跌的时候最牛逼，,09-04 13:05,09-04
0,芯片半导体有推荐的吗？,09-04 13:05,09-04
0,下午该表演涨停来迟了,09-04 13:05,09-04
0,大唐电信手机芯片数据安全，央企重组概念,09-04 13:05,09-04
0,昨天行情一百次充分证明，只有做垃圾股，才能赚钱。,09-04 13:06,09-04
0,哎！不改垃圾本性啊！,09-04 13:06,09-04
0,东方垃圾，板块涨的时候不跟，跌得时候跟的紧紧的,09-04 13:06,09-04
0,要想挣钱，先学会做空,09-04 13:12,09-04
0,卖出,09-04 13:19,09-04
0,15.85买16.10卖了，没办法，不这么搞不行,09-04 13:19,09-04
0,券商就做空主力,09-04 13:24,09-04
0,请问怎么融券，我要去做空,09-04 13:25,09-04
0,这几天没头绪，给个意见,09-04 13:25,09-04
0,帮忙看看蓝色光标需要卖掉吗,09-04 13:26,09-04
0,本月跌到2元,09-04 13:28,09-04
0,又要跌了，老粉嘴又开始买入评级了。,09-04 13:28,09-04
0,北向资金近期持续流入，今日大幅，目前近60，如此信号要重视。8月市场低迷重要原因之一，便是北向资金持续流出。而9月开始，北向则大幅流入。意味机会已经开始转向，资金态度积极。,09-04 13:29,09-04
0,1.金融行业中的诱惑实在太大了，人性根本经不住考验。2.从别人的经验学习很重要，生意上的道理还要自己体会。一个不能从别人的经验中学习的人，一辈子注定一直摔跟头。3.要找不需要投入更多资本就能增长的公司。很多公司，股东投入了更多资本，表面上看，净资产收益率数字还过得去，但实际上股东无法获得真正的收益。4.投资就要买现金流殷实的公司，钱多到喘口气能被淹死才好呢。5.可能会有一笔投资亏损概率比较大但是...,09-04 13:29,09-04
0,券商行情己去抓紧走,09-04 13:31,09-04
0,应升不升，废了。,09-04 13:32,09-04
0,4连阴了，厉害，前面跌的时候也没有这么多啊,09-04 13:33,09-04
0,这货，是来打酱油的吗,09-04 13:33,09-04
0,验证一下,09-04 13:33,09-04
0,转发,09-04 13:36,09-04
0,我中了一道叫A股的蛊-卢本圆你见过大盘红一个点的恐慌盘吗？首创全仓做了个t，导致我尾盘跑不出去。东财做了半仓t，导致我没有勇气清仓。开了银之杰和汇金股份，让我深套，一只亏了两千多。昨天是大家整段子，各种借贷软件想要借钱炒股，洋洋洒洒追高入场，风风火火陪伴大盘上涨几天。盘后就只能是下载外卖软件的段子了。我今天其实很不爽。全仓的金融，本来也不指望能赚很多每一只都涨停。但是至少不会如此灰头土脸，就像斗败...,09-04 13:37,09-04
0,行情已进入磨人性了，躺平,09-04 13:38,09-04
0,大家成本都是多少？,09-04 13:39,09-04
0,快来看看吧~,09-04 13:40,09-04
0,估计东财就等中信给予买入评价，股价立马下跌10-20%,09-04 13:41,09-04
0,我买了所以跌了,09-04 13:42,09-04
0,高频量化对收入影响很大吗？佣金。呵呵。,09-04 13:42,09-04
0,小哪咤把我删了，唉，以后不能再嘲笑别人了，要多一些鼓励，多一些包容，毕竟良药苦口利于病，这只有在书里才有！,09-04 13:42,09-04
0,什么利好都救不了这个东方垃圾了,09-04 13:43,09-04
0,已建仓，坐等拉升,09-04 13:43,09-04
0,下午V,09-04 13:44,09-04
0,缩量横盘，半死不活,09-04 13:45,09-04
0,发个套得套你几个月，哎,09-04 13:52,09-04
0,有种机构压着别涨,09-04 13:53,09-04
0,18.40的本。有没有差不多的。放心，到14就不会跌了。,09-04 13:53,09-04
0,发誓，这辈子不会在买证券,09-04 13:54,09-04
0,买哪个,09-04 13:55,09-04
0,就在卷商股,09-04 13:59,09-04
0,用证券压盘，有点意思,09-04 14:00,09-04
0,暴跌开始哈哈可怜的散户,09-04 14:00,09-04
0,应该不会跌了。存量资金的博弈，拿着等待轮动？,09-04 14:00,09-04
0,怎么这么不听话,09-04 14:01,09-04
0,冲上去！！！！,09-04 14:01,09-04
0,不出意外在，整个券商板块，前几天融券的，在压盘，偷偷买券来还，明天早上看下便知分晓,09-04 14:02,09-04
0,今天没有北向，内资不表现表现,09-04 14:02,09-04
0,唉，争口气吧,09-04 14:02,09-04
0,券商套了太多人。短期很难上涨了。,09-04 14:04,09-04
0,还不涨？,09-04 14:05,09-04
0,这走线配不上你的名字,09-04 14:06,09-04
0,你们的做空券都买回来了吗,09-04 14:06,09-04
0,这个阶段怕踏空，先收几百米吃鸡腿再说，不贪不急不躁，踏踏实实操盘,09-04 14:06,09-04
0,抄一点，看看有没有机会,09-04 14:07,09-04
0,"周末组合拳救市,这次非同一般！减缓IPO节奏已明显显现，不稳定的减持以及大幅度的减持引起了监管层的重视，某些减持漏洞已填补，降低了交易手续费、券商佣金，鼓励上市公司回购，鼓励加杠杆，支持社保基金和银行理财产品入市，哪一条不是实质性利好，希望大家保持客观理性清醒，不要倒在黎明前的黑暗，欢迎发表不同意见讨论。",09-04 14:08,09-04
0,不玩了，掏钱买房子,09-04 14:17,09-04
0,老子一日坐山顶,09-04 14:17,09-04
0,横盘必有妖，拭目以待,09-04 14:18,09-04
0,券商起不来大盘没有爆发力,09-04 14:18,09-04
0,涨不上去就快点下去把缺口补了，让大家安全感更强。,09-04 14:19,09-04
0,今天收盘可能绿了,09-04 14:20,09-04
0,没有了量化就没有了成交量。,09-04 14:22,09-04
0,今天真是像一只老狗趴着不动,09-04 14:27,09-04
0,浪费行情，很无奈,09-04 14:31,09-04
0,稳啦，全部都稳啦，涨停,09-04 14:31,09-04
0,量化还在砸,09-04 14:34,09-04
0,前几天融的券不买回来还吗？,09-04 14:34,09-04
0,16有大托单，必跌破,09-04 14:34,09-04
0,不下来不买了，明天再来看看你，,09-04 14:35,09-04
0,海南希瓦私募基金创始人梁宏，是拥有约70万粉丝的大V。2014年12月，梁宏成立海南希瓦资产，2015年4月发行了第一只私募产品小牛一号，目前管理规模超100亿元。（以下全文转发梁宏自述）发布于2023-09-02我（以下指代梁宏）2005年-2011年初做了五年多美股日内交易员。赚钱最爽是2008-2009年，美股波动非常大做多做空玩的不亦乐乎。然2009年后期开始赚钱越来越难。一是因为波动率...,09-04 14:36,09-04
0,控量化，有一点点利空券商，今天有机会低位买入,09-04 14:39,09-04
0,百万（股东）家庭持股东财待涨，就是不见启动。,09-04 14:39,09-04
0,券券跟涨蹭红，,09-04 14:40,09-04
0,今天没有跑赢指数和板块。主要是手里的科技没起来,09-04 14:42,09-04
0,券商股已经到头，大盘上涨券商可退出了,09-04 14:42,09-04
0,回购股票还没开始,09-04 14:42,09-04
0,别的股发财，短时轮不到冬菜,09-04 14:43,09-04
0,先祝大家周末愉快！！请大家继续和我同步，保持好师爷级别的心态，空仓上阵！！我今早开盘前9点08分回复帖子，说又来利好了，今早东财可以高开冲高下了！！目前看果然给大家兑现预测了！接着还说接下来不改继续震荡向下杀跌的趋势！！越是这样频繁推出利好消息来暂时阻止杀跌，后面必定会更加推波助澜地加速向下杀跌的力度！！真是验证那句俗话:强扭的瓜不甜！！东财趋势本该向下杀跌的！！硬是被强扭拉涨，绝对持续不长的！！...,09-04 14:47,09-04
0,券商股是真的是垃圾，随便买都是大涨，扶不上墙。,09-04 14:47,09-04
0,真恶心的走势,09-04 14:47,09-04
0,收盘前会直线暴跌收全天最低点,09-04 14:48,09-04
0,芯片半导体有推荐的吗？,09-04 14:49,09-04
0,两颗星了，拉不得也砸不得，主力每天唱星星还是那个星星，连唱一个月,09-04 14:50,09-04
0,某些散户眼里不是涨停就是跌停，真的不想说啥，活该被宰,09-04 14:55,09-04
0,邀您观看：【基金面对面】对话博时基金于渤洋：一年期LPR超预期调降，如何利好债市？,09-04 14:57,09-04
0,东财这票交易量是真猛啊。砸盘也狠。,09-04 14:57,09-04
0,周末看房那么多消息，心想政府肯定要规范量化交易了。那么问题来了，量化交易减少了，成交量就少了，券商业绩也就受到影响了。但东方财富的客户基本上都是普通投资者，量化呢，都是机构投资者，机构投资者都在一些大的券商交易，想到这些放心了，安心持有吧。在加上减少IPO等等，对东财没有影响。拉长时间看，未来5、8年，T+0迟早会来，延长交易时间也回来，那么东财...,09-04 14:58,09-04
0,立讯精密持有两三年了，快腰斩了，走还是不走呢,09-04 15:03,09-04
0,一个板块也没跑过,09-04 15:03,09-04
0,连大盘都涨不过的玩意,09-04 15:04,09-04
0,主力真怂，可以涨了呀……,09-04 15:04,09-04
0,再说一次，清仓了，今天趁美股休市，拉白酒、有色拉指数，估计今天是本月指数最高点，待本月中、下旬观察，待定A股强弱。,09-04 15:05,09-04
